question_title,image,type,choice_1,choice_2,choice_3,choice_4,correct_answer,ignore_ai
Thành phần nào chủ yếu thực thi các lệnh của chương trình máy tính?,,multiple choice,PSU,RAM,SSD,CPU,CPU,
Vai trò chính của RAM trong quá trình sử dụng máy tính thông thường là gì?,,multiple choice,Lưu dữ liệu của chương trình đang hoạt động,Lưu tệp khi không có điện,Thực hiện các lệnh tính toán số học của chương trình,Cung cấp điện năng cho máy hoạt động,Lưu dữ liệu của chương trình đang hoạt động,
Một byte gồm bao nhiêu bit?,,multiple choice,16 bit,8 bit,4 bit,32 bit,8 bit,
"Khi mở một trang web, DNS chủ yếu được dùng để làm gì?",,multiple choice,Gán địa chỉ IP cho thiết bị,Lưu các trang đã được trình duyệt lưu lại,Tìm địa chỉ IP của tên miền,Mã hóa lưu lượng web của trình duyệt,Tìm địa chỉ IP của tên miền,
Mục nào sau đây là một hệ điều hành?,,multiple choice,Windows,Python,Chrome,Word,Windows,
Thiết bị lưu trữ nào không có bộ phận cơ học chuyển động?,,multiple choice,HDD,Ổ đĩa DVD,Ổ băng từ,SSD,SSD,
Cặp nào liệt kê đầy đủ các chữ số được dùng trong hệ nhị phân?,,multiple choice,1 và 9,0 và 1,1 và 2,0 và 9,0 và 1,
Giá trị 12 thuộc kiểu dữ liệu nào trong Python 3?,,multiple choice,int,float,str,bool,int,
Ký hiệu nào bắt đầu một chú thích trong Python 3?,,multiple choice,--,//,#,/*,#,
Giá trị nào sau đây là một chuỗi trong Python 3?,,multiple choice,25,2.5,True,"""25""","""25""",
Số nhị phân 0110 có giá trị bằng bao nhiêu trong hệ thập phân?,,multiple choice,8,6,4,12,6,
Bạn lưu một tệp vào SSD rồi tắt máy đúng cách. Tệp đã lưu vẫn nằm ở đâu?,,multiple choice,ROM,CPU,RAM,SSD,SSD,
Một trình duyệt yêu cầu máy chủ web cung cấp một trang. Trình duyệt đóng vai trò gì?,,multiple choice,Máy chủ (Server),Bộ định tuyến (Router),Máy khách (Client),Bộ chuyển mạch (Switch),Máy khách (Client),
Địa chỉ nào là địa chỉ IPv4 hợp lệ ở dạng thập phân phân tách bằng dấu chấm?,,multiple choice,192.168.1,192.168.1.5,192.168.1.5.2,192.168.1.300,192.168.1.5,
"Đoạn mã Python 3 sau in ra kết quả gì?

x = 4
x = x + 3
print(x)",,multiple choice,4,43,7,3,7,
"Đoạn mã Python 3 sau in ra kết quả gì?

def calculate(a, b):
    return a + b * 2

print(calculate(3, 4))",,multiple choice,7,14,10,11,11,
"Đoạn mã Python 3 sau in ra kết quả gì?

print(not True, True or False)",,multiple choice,True True,True False,False True,False False,False True,
"Đoạn mã Python 3 sau in ra kết quả gì?

print(7 // 2)",,multiple choice,1,3,3.5,4,3,
"Đoạn mã Python 3 sau in ra kết quả gì?

numbers = [10, 20, 30]
print(numbers[1])",,multiple choice,20,1,10,30,20,
"Đoạn mã Python 3 sau in ra kết quả gì?

total = 0
for n in range(1, 4):
    total += n
print(total)",,multiple choice,6,10,3,4,6,
"Đoạn mã Python 3 sau in ra kết quả gì?

a = [1, 2]
b = a
b[0] = 9
print(a)",,multiple choice,"[1, 2]","[9, 9]","[9, 2]","[1, 9]","[9, 2]",
"Đoạn mã Python 3 sau in ra kết quả gì?

word = ""cat""
other = word
word = word + ""s""
print(other)",,multiple choice,cat,catcats,s,cats,cat,
"Đoạn mã Python 3 sau in ra kết quả gì?

print(-7 // 2)",,multiple choice,3,-4,-3.5,-3,-4,
"Đoạn mã Python 3 sau in ra kết quả gì?

def add(a, b):
    total = a + b

print(add(2, 3))",,multiple choice,TypeError,None,5,0,None,
"Đoạn mã Python 3 sau in ra kết quả gì?

print(5 == ""5"", 5 == 5.0)",,multiple choice,True False,True True,False False,False True,False True,
Cần tối thiểu bao nhiêu bit để biểu diễn mọi số nguyên từ 0 đến 300 trong hệ nhị phân không dấu?,,multiple choice,8 bit,9 bit,16 bit,10 bit,9 bit,
"Khi chỉ dùng đúng 4 bit, kết quả còn lại là gì sau khi cộng 1 vào số nhị phân 1111 và bỏ bit nhớ vượt quá 4 bit?",,multiple choice,0000,1110,0001,1111,0000,
"Đoạn mã Python 3 sau in ra kết quả gì?

count = 0
for n in range(1, 5):
    if n % 2 == 0:
        count += 1
print(count)",,multiple choice,3,6,2,4,2,
Một trang web sử dụng HTTPS. Chỉ riêng việc sử dụng HTTPS cho phép kết luận điều nào sau đây?,,multiple choice,Lưu lượng của kết nối được mã hóa,Các tệp tải xuống từ trang web đều vô hại,Chủ sở hữu trang web đáng tin cậy,Thông tin trên trang web là chính xác,Lưu lượng của kết nối được mã hóa,
"Ở tốc độ 80 Mb/s, cần bao nhiêu giây để truyền 40 MB dữ liệu? Dùng đơn vị thập phân và bỏ qua phần dữ liệu phụ trợ (overhead).",,multiple choice,8 giây,0.5 giây,40 giây,4 giây,4 giây,
RAM là viết tắt của cụm từ nào?,,short_answer,,,,,Random Access Memory,true
